c0_left	 c0_right	 c_front	 c_back	 c_mean	 dcdx_mean	 p0	 dNu
6e-005	0	2.97817e-005	2.95264e-005	2.96541e-005	0.0255293	1e-014	0.0021522
6e-005	0	2.96933e-005	2.94383e-005	2.95658e-005	0.0255056	1.25893e-014	0.00215658
6e-005	0	2.95825e-005	2.93278e-005	2.94552e-005	0.0254758	1.58489e-014	0.00216208
6e-005	0	2.9444e-005	2.91896e-005	2.93168e-005	0.0254383	1.99526e-014	0.00216898
6e-005	0	2.9271e-005	2.90171e-005	2.91441e-005	0.0253912	2.51189e-014	0.00217763
6e-005	0	2.90555e-005	2.88022e-005	2.89288e-005	0.025332	3.16228e-014	0.00218845
6e-005	0	2.87876e-005	2.85351e-005	2.86614e-005	0.0252578	3.98107e-014	0.00220199
6e-005	0	2.84558e-005	2.82042e-005	2.833e-005	0.0251648	5.01187e-014	0.00221888
6e-005	0	2.80464e-005	2.77959e-005	2.79212e-005	0.0250483	6.30957e-014	0.00223989
6e-005	0	2.75438e-005	2.72947e-005	2.74193e-005	0.0249027	7.94328e-014	0.00226597
6e-005	0	2.69305e-005	2.66832e-005	2.68069e-005	0.0247209	1e-013	0.00229819
6e-005	0	2.61878e-005	2.59428e-005	2.60653e-005	0.0244946	1.25893e-013	0.00233779
6e-005	0	2.52963e-005	2.50542e-005	2.51753e-005	0.0242133	1.58489e-013	0.0023861
6e-005	0	2.42384e-005	2.39997e-005	2.41191e-005	0.0238652	1.99526e-013	0.00244449
6e-005	0	2.29996e-005	2.27652e-005	2.28824e-005	0.0234361	2.51189e-013	0.00251413
6e-005	0	2.15714e-005	2.13423e-005	2.14568e-005	0.0229101	3.16228e-013	0.00259575
6e-005	0	1.99552e-005	1.97325e-005	1.98439e-005	0.0222693	3.98107e-013	0.0026891
6e-005	0	1.81651e-005	1.79501e-005	1.80576e-005	0.0214951	5.01187e-013	0.00279215
6e-005	0	1.62303e-005	1.60246e-005	1.61275e-005	0.0205692	6.30957e-013	0.00290015
6e-005	0	1.41961e-005	1.40013e-005	1.40987e-005	0.0194751	7.94328e-013	0.00300436
6e-005	0	1.21216e-005	1.19396e-005	1.20306e-005	0.0182016	1e-012	0.00309101
6e-005	0	1.00758e-005	9.90836e-006	9.99209e-006	0.0167457	1.25893e-012	0.00314107
6e-005	0	8.12912e-006	7.97796e-006	8.05354e-006	0.0151164	1.58489e-012	0.00313171
6e-005	0	6.3471e-006	6.2137e-006	6.2804e-006	0.0133396	1.99526e-012	0.00304033
6e-005	0	4.78116e-006	4.66656e-006	4.72386e-006	0.0114593	2.51189e-012	0.00285119
6e-005	0	3.46296e-006	3.36758e-006	3.41527e-006	0.00953764	3.16228e-012	0.00256255
6e-005	0	2.4029e-006	2.32639e-006	2.36465e-006	0.00765107	3.98107e-012	0.0021913
6e-005	0	1.59081e-006	1.53199e-006	1.5614e-006	0.00588189	5.01187e-012	0.00177144
6e-005	0	1.00013e-006	9.57069e-007	9.78601e-007	0.00430639	6.30957e-012	0.00134621
6e-005	0	5.93899e-007	5.64075e-007	5.78987e-007	0.00298241	7.94328e-012	0.000956847
6e-005	0	3.3104e-007	3.11646e-007	3.21343e-007	0.00193942	1e-011	0.000632845
6e-005	0	1.71983e-007	1.60235e-007	1.66109e-007	0.00117478	1.25893e-011	0.000387291
