c0_left	 c0_right	 c_front	 c_back	 c_mean	 dcdx_mean	 p0	 dNu
0.00012	0	5.95635e-005	5.90529e-005	5.93082e-005	0.0510587	1e-014	0.00192049
0.00012	0	5.93866e-005	5.88765e-005	5.91316e-005	0.0510112	1.25893e-014	0.00192632
0.00012	0	5.91651e-005	5.86556e-005	5.89103e-005	0.0509515	1.58489e-014	0.00193365
0.00012	0	5.8888e-005	5.83792e-005	5.86336e-005	0.0508765	1.99526e-014	0.00194288
0.00012	0	5.85421e-005	5.80343e-005	5.82882e-005	0.0507823	2.51189e-014	0.00195449
0.00012	0	5.8111e-005	5.76044e-005	5.78577e-005	0.050664	3.16228e-014	0.00196909
0.00012	0	5.75753e-005	5.70701e-005	5.73227e-005	0.0505156	3.98107e-014	0.00198745
0.00012	0	5.69116e-005	5.64083e-005	5.666e-005	0.0503296	5.01187e-014	0.00201053
0.00012	0	5.60928e-005	5.55918e-005	5.58423e-005	0.0500967	6.30957e-014	0.00203953
0.00012	0	5.50875e-005	5.45895e-005	5.48385e-005	0.0498054	7.94328e-014	0.00207594
0.00012	0	5.38609e-005	5.33665e-005	5.36137e-005	0.0494419	1e-013	0.00212161
0.00012	0	5.23755e-005	5.18856e-005	5.21306e-005	0.0489891	1.25893e-013	0.00217879
0.00012	0	5.05926e-005	5.01084e-005	5.03505e-005	0.0484266	1.58489e-013	0.00225026
0.00012	0	4.84768e-005	4.79995e-005	4.82381e-005	0.0477304	1.99526e-013	0.00233928
0.00012	0	4.59992e-005	4.55304e-005	4.57648e-005	0.0468723	2.51189e-013	0.00244966
0.00012	0	4.31428e-005	4.26846e-005	4.29137e-005	0.0458201	3.16228e-013	0.00258561
0.00012	0	3.99104e-005	3.9465e-005	3.96877e-005	0.0445386	3.98107e-013	0.00275137
0.00012	0	3.63302e-005	3.59003e-005	3.61152e-005	0.0429903	5.01187e-013	0.00295048
0.00012	0	3.24606e-005	3.20493e-005	3.22549e-005	0.0411383	6.30957e-013	0.00318438
0.00012	0	2.83922e-005	2.80027e-005	2.81974e-005	0.0389502	7.94328e-013	0.00345008
0.00012	0	2.42433e-005	2.38792e-005	2.40612e-005	0.0364031	1e-012	0.00373674
0.00012	0	2.01516e-005	1.98167e-005	1.99842e-005	0.0334914	1.25893e-012	0.00402156
0.00012	0	1.62582e-005	1.59559e-005	1.61071e-005	0.0302328	1.58489e-012	0.00426648
