c0_left	 c0_right	 c_front	 c_back	 c_mean	 dcdx_mean	 p0	 dNu
0.00090009	0.00089991	0.000889652	0.000889651	0.000889651	8.40234e-005	1e-014	2.9804e-008
0.00090009	0.00089991	0.000887002	0.000887002	0.000887002	8.5876e-005	1.25893e-014	3.06374e-008
0.00090009	0.00089991	0.000883684	0.000883683	0.000883684	8.81923e-005	1.58489e-014	3.16928e-008
0.00090009	0.00089991	0.000879534	0.000879533	0.000879533	9.10825e-005	1.99526e-014	3.30308e-008
0.00090009	0.00089991	0.000874352	0.000874351	0.000874351	9.46803e-005	2.51189e-014	3.47301e-008
0.00090009	0.00089991	0.000867895	0.000867894	0.000867894	9.91468e-005	3.16228e-014	3.68935e-008
0.00090009	0.00089991	0.00085987	0.000859869	0.00085987	0.000104672	3.98107e-014	3.96549e-008
0.00090009	0.00089991	0.00084993	0.000849928	0.000849929	0.000111474	5.01187e-014	4.31918e-008
0.00090009	0.00089991	0.000837665	0.000837664	0.000837664	0.000119804	6.30957e-014	4.77407e-008
0.00090009	0.00089991	0.000822608	0.000822606	0.000822607	0.000129931	7.94328e-014	5.3621e-008
0.00090009	0.00089991	0.000804236	0.000804234	0.000804235	0.000142133	1e-013	6.1269e-008
0.00090009	0.00089991	0.000781989	0.000781987	0.000781988	0.000156675	1.25893e-013	7.12887e-008
0.00090009	0.00089991	0.000755288	0.000755287	0.000755288	0.000173768	1.58489e-013	8.45346e-008
0.00090009	0.00089991	0.000723603	0.000723601	0.000723602	0.000193512	1.99526e-013	1.02222e-007
0.00090009	0.00089991	0.000686504	0.000686501	0.000686502	0.00021582	2.51189e-013	1.26118e-007
0.00090009	0.00089991	0.000643737	0.000643735	0.000643736	0.000240345	3.16228e-013	1.58846e-007
0.00090009	0.00089991	0.000595348	0.000595345	0.000595347	0.000266367	3.98107e-013	2.04343e-007
0.00090009	0.00089991	0.000541761	0.000541758	0.000541759	0.000292726	5.01187e-013	2.68631e-007
0.00090009	0.00089991	0.000483857	0.000483853	0.000483855	0.000317785	6.30957e-013	3.61055e-007
0.00090009	0.00089991	0.000422993	0.00042299	0.000422992	0.000339475	7.94328e-013	4.96305e-007
0.00090009	0.00089991	0.00036095	0.000360947	0.000360949	0.000355449	1e-012	6.97684e-007
0.00090009	0.00089991	0.000299793	0.00029979	0.000299792	0.000363351	1.25893e-012	1.00223e-006
0.00090009	0.00089991	0.000241635	0.000241632	0.000241634	0.000361193	1.58489e-012	1.46857e-006
0.00090009	0.00089991	0.000188439	0.000188436	0.000188437	0.000347756	1.99526e-012	2.18646e-006
0.00090009	0.00089991	0.00014174	0.000141737	0.000141739	0.000322968	2.51189e-012	3.28508e-006
0.00090009	0.00089991	0.000102479	0.000102476	0.000102478	0.0002881	3.16228e-012	4.92467e-006
0.00090009	0.00089991	7.09574e-005	7.09549e-005	7.09562e-005	0.000245751	3.98107e-012	7.23354e-006
0.00090009	0.00089991	4.68564e-005	4.68544e-005	4.68554e-005	0.000199542	5.01187e-012	1.01346e-005
0.00090009	0.00089991	2.93689e-005	2.93674e-005	2.93681e-005	0.000153547	6.30957e-012	1.30694e-005
