c0_left	 c0_right	 c_front	 c_back	 c_mean	 dcdx_mean	 p0	 dNu
4.75468e-007	0	9.78548e-008	9.28964e-008	9.53756e-008	0.00049584	1e-012	0.000164234
4.75468e-007	0	8.15018e-008	7.69402e-008	7.9221e-008	0.000456168	1.25893e-012	0.000151256
4.75468e-007	0	6.59169e-008	6.17991e-008	6.3858e-008	0.000411776	1.58489e-012	0.000136676
4.75468e-007	0	5.16219e-008	4.79882e-008	4.9805e-008	0.000363367	1.99526e-012	0.000120721
4.75468e-007	0	3.90284e-008	3.5907e-008	3.74677e-008	0.000312145	2.51189e-012	0.000103789
4.75468e-007	0	2.83935e-008	2.57955e-008	2.70945e-008	0.000259796	3.16228e-012	8.64423e-005
4.75468e-007	0	1.9807e-008	1.77229e-008	1.8765e-008	0.000208406	3.98107e-012	6.93819e-005
4.75468e-007	0	1.31965e-008	1.15943e-008	1.23954e-008	0.000160216	5.01187e-012	5.33614e-005
4.75468e-007	0	8.35909e-009	7.18605e-009	7.77257e-009	0.000117303	6.30957e-012	3.90808e-005
4.75468e-007	0	5.0078e-009	4.19539e-009	4.6016e-009	8.12409e-005	7.94328e-012	2.7072e-005
4.75468e-007	0	2.82028e-009	2.29195e-009	2.55611e-009	5.28323e-005	1e-011	1.76078e-005
4.75468e-007	0	1.48283e-009	1.16278e-009	1.3228e-009	3.20044e-005	1.25893e-011	1.06672e-005
4.75468e-007	0	7.2198e-010	5.42988e-010	6.32484e-010	1.78992e-005	1.58489e-011	5.96614e-006
4.75468e-007	0	3.22714e-010	2.31163e-010	2.76938e-010	9.15518e-006	1.99526e-011	3.05167e-006
4.75468e-007	0	1.31161e-010	8.87708e-011	1.09966e-010	4.23903e-006	2.51189e-011	1.413e-006
4.75468e-007	0	4.7971e-011	3.03977e-011	3.91843e-011	1.75733e-006	3.16228e-011	5.85775e-007
4.75468e-007	0	1.56301e-011	9.17763e-012	1.24039e-011	6.45249e-007	3.98107e-011	2.15083e-007
4.75468e-007	0	4.49715e-012	2.41891e-012	3.45803e-012	2.07824e-007	5.01187e-011	6.92747e-008
4.75468e-007	0	1.13703e-012	5.53324e-013	8.45179e-013	5.83709e-008	6.30957e-011	1.9457e-008
4.75468e-007	0	2.53602e-013	1.10234e-013	1.81918e-013	1.43368e-008	7.94328e-011	4.77892e-009
4.75468e-007	0	5.09662e-014	1.95386e-014	3.52524e-014	3.14275e-009	1e-010	1.04758e-009
4.75468e-007	0	9.71306e-015	3.24095e-015	6.47701e-015	6.47211e-010	1.25893e-010	2.15737e-010
4.75468e-007	0	1.91977e-015	5.4752e-016	1.23364e-015	1.37225e-010	1.58489e-010	4.57416e-011
4.75468e-007	0	4.39675e-016	1.04172e-016	2.71924e-016	3.35503e-011	1.99526e-010	1.11834e-011
4.75468e-007	0	1.25044e-016	2.38043e-017	7.4424e-017	1.01239e-011	2.51189e-010	3.37465e-012
4.75468e-007	0	4.37275e-017	6.53e-018	2.51288e-017	3.71975e-012	3.16228e-010	1.23992e-012
4.75468e-007	0	1.80055e-017	2.08946e-018	1.00475e-017	1.59161e-012	3.98107e-010	5.30535e-013
4.75468e-007	0	8.49902e-018	7.678e-019	4.63341e-018	7.73122e-013	5.01187e-010	2.57707e-013
4.75468e-007	0	4.57465e-018	3.24062e-019	2.44936e-018	4.25059e-013	6.30957e-010	1.41686e-013
4.75468e-007	0	2.79351e-018	1.56738e-019	1.47512e-018	2.63677e-013	7.94328e-010	8.78923e-014
4.75468e-007	0	1.88887e-018	8.5741e-020	9.87307e-019	1.80313e-013	1e-009	6.01044e-014
7.53566e-007	0	3.42066e-007	3.31391e-007	3.36728e-007	0.00106751	1e-013	0.000347982
7.53566e-007	0	3.32704e-007	3.22127e-007	3.27416e-007	0.00105773	1.25893e-013	0.000345004
7.53566e-007	0	3.21467e-007	3.11011e-007	3.16239e-007	0.00104557	1.58489e-013	0.000341291
7.53566e-007	0	3.08128e-007	2.97822e-007	3.02975e-007	0.00103053	1.99526e-013	0.000336674
7.53566e-007	0	2.92505e-007	2.82385e-007	2.87445e-007	0.00101199	2.51189e-013	0.000330956
7.53566e-007	0	2.74488e-007	2.64596e-007	2.69542e-007	0.000989253	3.16228e-013	0.000323904
7.53566e-007	0	2.54094e-007	2.44478e-007	2.49286e-007	0.000961566	3.98107e-013	0.000315261
7.53566e-007	0	2.31494e-007	2.22213e-007	2.26853e-007	0.00092812	5.01187e-013	0.000304747
7.53566e-007	0	2.07054e-007	1.98173e-007	2.02613e-007	0.000888118	6.30957e-013	0.000292081
7.53566e-007	0	1.81338e-007	1.7293e-007	1.77134e-007	0.000840859	7.94328e-013	0.000277006
7.53566e-007	0	1.5509e-007	1.47231e-007	1.5116e-007	0.000785854	1e-012	0.000259331
7.53566e-007	0	1.29172e-007	1.21942e-007	1.25557e-007	0.000722979	1.25893e-012	0.000238988
7.53566e-007	0	1.04471e-007	9.79452e-008	1.01208e-007	0.000652622	1.58489e-012	0.00021608
7.53566e-007	0	8.18153e-008	7.60563e-008	7.89358e-008	0.000575899	1.99526e-012	0.00019096
7.53566e-007	0	6.1856e-008	5.69088e-008	5.93824e-008	0.000494716	2.51189e-012	0.000164255
7.53566e-007	0	4.50007e-008	4.08832e-008	4.29419e-008	0.000411749	3.16228e-012	0.000136858
7.53566e-007	0	3.1392e-008	2.8089e-008	2.97405e-008	0.000330302	3.98107e-012	0.000109883
7.53566e-007	0	2.0915e-008	1.83757e-008	1.96454e-008	0.000253926	5.01187e-012	8.45313e-005
7.53566e-007	0	1.32483e-008	1.13891e-008	1.23187e-008	0.000185913	6.30957e-012	6.19202e-005
7.53566e-007	0	7.93684e-009	6.64926e-009	7.29305e-009	0.000128758	7.94328e-012	4.28986e-005
7.53566e-007	0	4.46984e-009	3.6325e-009	4.05117e-009	8.37336e-005	1e-011	2.79037e-005
7.53566e-007	0	2.35012e-009	1.84289e-009	2.09651e-009	5.07237e-005	1.25893e-011	1.69055e-005
7.53566e-007	0	1.14426e-009	8.60579e-010	1.00242e-009	2.83683e-005	1.58489e-011	9.45546e-006
7.53566e-007	0	5.11468e-010	3.66368e-010	4.38918e-010	1.451e-005	1.99526e-011	4.83652e-006
7.53566e-007	0	2.07877e-010	1.40692e-010	1.74285e-010	6.71842e-006	2.51189e-011	2.23945e-006
7.53566e-007	0	7.6029e-011	4.81771e-011	6.21031e-011	2.78518e-006	3.16228e-011	9.28391e-007
7.53566e-007	0	2.47721e-011	1.45456e-011	1.96588e-011	1.02265e-006	3.98107e-011	3.40884e-007
7.53566e-007	0	7.12751e-012	3.83372e-012	5.48061e-012	3.2938e-007	5.01187e-011	1.09793e-007
7.53566e-007	0	1.80208e-012	8.76961e-013	1.33952e-012	9.25118e-008	6.30957e-011	3.08373e-008
7.53566e-007	0	4.01932e-013	1.7471e-013	2.88321e-013	2.27223e-008	7.94328e-011	7.57408e-009
7.53566e-007	0	8.0776e-014	3.09667e-014	5.58714e-014	4.98093e-009	1e-010	1.66031e-009
7.53566e-007	0	1.53942e-014	5.13657e-015	1.02654e-014	1.02576e-009	1.25893e-010	3.41921e-010
7.53566e-007	0	3.04263e-015	8.67762e-016	1.9552e-015	2.17487e-010	1.58489e-010	7.24956e-011
7.53566e-007	0	6.96839e-016	1.65102e-016	4.30971e-016	5.31737e-011	1.99526e-010	1.77246e-011
7.53566e-007	0	1.98181e-016	3.77274e-017	1.17954e-016	1.60454e-011	2.51189e-010	5.34846e-012
7.53566e-007	0	6.93035e-017	1.03494e-017	3.98264e-017	5.89541e-012	3.16228e-010	1.96514e-012
7.53566e-007	0	2.85369e-017	3.31157e-018	1.59242e-017	2.52253e-012	3.98107e-010	8.40843e-013
7.53566e-007	0	1.34701e-017	1.21688e-018	7.34347e-018	1.22532e-012	5.01187e-010	4.08439e-013
7.53566e-007	0	7.25034e-018	5.13605e-019	3.88197e-018	6.73674e-013	6.30957e-010	2.24558e-013
7.53566e-007	0	4.42742e-018	2.48414e-019	2.33791e-018	4.179e-013	7.94328e-010	1.393e-013
7.53566e-007	0	2.99367e-018	1.35891e-019	1.56478e-018	2.85778e-013	1e-009	9.52592e-014
1.19432e-006	0	5.42125e-007	5.25207e-007	5.33666e-007	0.00169185	1e-013	0.00054441
1.19432e-006	0	5.27289e-007	5.10525e-007	5.18907e-007	0.00167635	1.25893e-013	0.000539942
1.19432e-006	0	5.09478e-007	4.92907e-007	5.01193e-007	0.00165708	1.58489e-013	0.000534357
1.19432e-006	0	4.88338e-007	4.72006e-007	4.80172e-007	0.00163324	1.99526e-013	0.000527395
1.19432e-006	0	4.63578e-007	4.47539e-007	4.55558e-007	0.00160385	2.51189e-013	0.000518743
1.19432e-006	0	4.35025e-007	4.19346e-007	4.27186e-007	0.00156782	3.16228e-013	0.000508036
1.19432e-006	0	4.02702e-007	3.87462e-007	3.95082e-007	0.00152394	3.98107e-013	0.000494861
1.19432e-006	0	3.66884e-007	3.52175e-007	3.5953e-007	0.00147094	5.01187e-013	0.000478768
1.19432e-006	0	3.2815e-007	3.14075e-007	3.21113e-007	0.00140754	6.30957e-013	0.000459295
1.19432e-006	0	2.87395e-007	2.74068e-007	2.80732e-007	0.00133264	7.94328e-013	0.000436015
1.19432e-006	0	2.45795e-007	2.3334e-007	2.39567e-007	0.00124546	1e-012	0.000408603
1.19432e-006	0	2.04719e-007	1.93261e-007	1.9899e-007	0.00114582	1.25893e-012	0.000376922
1.19432e-006	0	1.65572e-007	1.55229e-007	1.60401e-007	0.00103431	1.58489e-012	0.000341113
1.19432e-006	0	1.29665e-007	1.20538e-007	1.25102e-007	0.000912716	1.99526e-012	0.000301717
1.19432e-006	0	9.80328e-008	9.01923e-008	9.41125e-008	0.000784054	2.51189e-012	0.000259719
1.19432e-006	0	7.13196e-008	6.4794e-008	6.80568e-008	0.000652563	3.16228e-012	0.000216537
1.19432e-006	0	4.97519e-008	4.4517e-008	4.71344e-008	0.000523481	3.98107e-012	0.000173947
1.19432e-006	0	3.31473e-008	2.91229e-008	3.11351e-008	0.000402436	5.01187e-012	0.000133867
1.19432e-006	0	2.09966e-008	1.80501e-008	1.95234e-008	0.000294646	6.30957e-012	9.80875e-005
1.19432e-006	0	1.25788e-008	1.05381e-008	1.15584e-008	0.000204063	7.94328e-012	6.79688e-005
1.19432e-006	0	7.08405e-009	5.757e-009	6.42052e-009	0.000132706	1e-011	4.42163e-005
1.19432e-006	0	3.72461e-009	2.92071e-009	3.32266e-009	8.03897e-005	1.25893e-011	2.67906e-005
1.19432e-006	0	1.81349e-009	1.36389e-009	1.58869e-009	4.49597e-005	1.58489e-011	1.4985e-005
1.19432e-006	0	8.10604e-010	5.80641e-010	6.95623e-010	2.29963e-005	1.99526e-011	7.66506e-006
1.19432e-006	0	3.29455e-010	2.22977e-010	2.76216e-010	1.06477e-005	2.51189e-011	3.54918e-006
1.19432e-006	0	1.20495e-010	7.63538e-011	9.84244e-011	4.41412e-006	3.16228e-011	1.47136e-006
1.19432e-006	0	3.92602e-011	2.30526e-011	3.11564e-011	1.62076e-006	3.98107e-011	5.40251e-007
1.19432e-006	0	1.12961e-011	6.07589e-012	8.68599e-012	5.22019e-007	5.01187e-011	1.74006e-007
1.19432e-006	0	2.85604e-012	1.38986e-012	2.12295e-012	1.46618e-007	6.30957e-011	4.88726e-008
1.19432e-006	0	6.37005e-013	2.7689e-013	4.56947e-013	3.60115e-008	7.94328e-011	1.20038e-008
1.19432e-006	0	1.28018e-013	4.90778e-014	8.85481e-014	7.89406e-009	1e-010	2.63135e-009
1.19432e-006	0	2.43976e-014	8.14072e-015	1.62691e-014	1.62569e-009	1.25893e-010	5.41895e-010
1.19432e-006	0	4.82213e-015	1.37528e-015	3.0987e-015	3.44685e-010	1.58489e-010	1.14895e-010
1.19432e-006	0	1.10439e-015	2.61663e-016	6.83027e-016	8.42726e-011	1.99526e-010	2.80909e-011
1.19432e-006	0	3.14089e-016	5.97924e-017	1.86941e-016	2.54296e-011	2.51189e-010	8.47654e-012
1.19432e-006	0	1.09836e-016	1.64023e-017	6.31192e-017	9.34338e-012	3.16228e-010	3.11446e-012
1.19432e-006	0	4.52268e-017	5.24837e-018	2.52376e-017	3.99784e-012	3.98107e-010	1.33261e-012
1.19432e-006	0	2.13481e-017	1.92858e-018	1.16383e-017	1.94195e-012	5.01187e-010	6.47317e-013
1.19432e-006	0	1.14908e-017	8.13989e-019	6.15237e-018	1.06768e-012	6.30957e-010	3.55892e-013
1.19432e-006	0	7.01682e-018	3.937e-019	3.70526e-018	6.62312e-013	7.94328e-010	2.20771e-013
1.19432e-006	0	4.74453e-018	2.15367e-019	2.47995e-018	4.52916e-013	1e-009	1.50972e-013
1.89287e-006	0	8.59239e-007	8.32424e-007	8.45831e-007	0.0026815	1e-013	0.000845484
1.89287e-006	0	8.35723e-007	8.09154e-007	8.22439e-007	0.00265692	1.25893e-013	0.000839007
1.89287e-006	0	8.07495e-007	7.81231e-007	7.94363e-007	0.00262638	1.58489e-013	0.000830878
1.89287e-006	0	7.73989e-007	7.48103e-007	7.61046e-007	0.00258859	1.99526e-013	0.000820697
1.89287e-006	0	7.34745e-007	7.09325e-007	7.22035e-007	0.00254202	2.51189e-013	0.000807978
1.89287e-006	0	6.8949e-007	6.64641e-007	6.77066e-007	0.00248491	3.16228e-013	0.000792146
1.89287e-006	0	6.3826e-007	6.14106e-007	6.26183e-007	0.00241537	3.98107e-013	0.000772536
1.89287e-006	0	5.81492e-007	5.58178e-007	5.69835e-007	0.00233135	5.01187e-013	0.000748416
1.89287e-006	0	5.201e-007	4.97792e-007	5.08946e-007	0.00223087	6.30957e-013	0.000719021
1.89287e-006	0	4.55505e-007	4.34384e-007	4.44944e-007	0.00211216	7.94328e-013	0.000683626
1.89287e-006	0	3.89571e-007	3.69831e-007	3.79701e-007	0.00197399	1e-012	0.000641653
1.89287e-006	0	3.24468e-007	3.06308e-007	3.15388e-007	0.00181606	1.25893e-012	0.000592822
1.89287e-006	0	2.62423e-007	2.46029e-007	2.54226e-007	0.00163933	1.58489e-012	0.000537297
1.89287e-006	0	2.05513e-007	1.91047e-007	1.9828e-007	0.00144661	1.99526e-012	0.00047589
1.89287e-006	0	1.55377e-007	1.4295e-007	1.49163e-007	0.00124268	2.51189e-012	0.000410139
1.89287e-006	0	1.13038e-007	1.02695e-007	1.07866e-007	0.00103428	3.16228e-012	0.000342293
1.89287e-006	0	7.8854e-008	7.05571e-008	7.47055e-008	0.000829689	3.98107e-012	0.000275191
1.89287e-006	0	5.25366e-008	4.61582e-008	4.93474e-008	0.00063784	5.01187e-012	0.000211915
1.89287e-006	0	3.32785e-008	2.86085e-008	3.09435e-008	0.000466997	6.30957e-012	0.000155345
1.89287e-006	0	1.99366e-008	1.67023e-008	1.83195e-008	0.000323429	7.94328e-012	0.000107678
1.89287e-006	0	1.12278e-008	9.12452e-009	1.01762e-008	0.000210331	1e-011	7.00629e-005
1.89287e-006	0	5.9033e-009	4.62917e-009	5.26623e-009	0.000127413	1.25893e-011	4.24562e-005
1.89287e-006	0	2.87428e-009	2.1617e-009	2.51799e-009	7.12586e-005	1.58489e-011	2.37489e-005
1.89287e-006	0	1.28476e-009	9.20284e-010	1.10252e-009	3.64478e-005	1.99526e-011	1.21484e-005
1.89287e-006	0	5.22167e-010	3.53407e-010	4.37787e-010	1.68761e-005	2.51189e-011	5.62519e-006
1.89287e-006	0	1.90978e-010	1.21017e-010	1.55997e-010	6.99613e-006	3.16228e-011	2.33202e-006
1.89287e-006	0	6.22253e-011	3.65372e-011	4.93812e-011	2.56881e-006	3.98107e-011	8.56267e-007
1.89287e-006	0	1.79037e-011	9.62995e-012	1.37668e-011	8.27372e-007	5.01187e-011	2.7579e-007
1.89287e-006	0	4.52666e-012	2.20285e-012	3.36475e-012	2.32381e-007	6.30957e-011	7.74604e-008
1.89287e-006	0	1.00962e-012	4.38855e-013	7.24237e-013	5.70763e-008	7.94328e-011	1.90254e-008
1.89287e-006	0	2.02902e-013	7.77856e-014	1.40344e-013	1.25117e-008	1e-010	4.17055e-009
1.89287e-006	0	3.86688e-014	1.29026e-014	2.57857e-014	2.57662e-009	1.25893e-010	8.58874e-010
1.89287e-006	0	7.64281e-015	2.17974e-015	4.91127e-015	5.46307e-010	1.58489e-010	1.82102e-010
1.89287e-006	0	1.7504e-015	4.14722e-016	1.08256e-015	1.33568e-010	1.99526e-010	4.45225e-011
1.89287e-006	0	4.97813e-016	9.47677e-017	2.9629e-016	4.03046e-011	2.51189e-010	1.34349e-011
1.89287e-006	0	1.74084e-016	2.59967e-017	1.0004e-016	1.48087e-011	3.16228e-010	4.93625e-012
1.89287e-006	0	7.1682e-017	8.31838e-018	4.00002e-017	6.33636e-012	3.98107e-010	2.11212e-012
1.89287e-006	0	3.38356e-017	3.0567e-018	1.84461e-017	3.07789e-012	5.01187e-010	1.02596e-012
1.89287e-006	0	1.82122e-017	1.29013e-018	9.75117e-018	1.69221e-012	6.30957e-010	5.64069e-013
1.89287e-006	0	1.11213e-017	6.23992e-019	5.87263e-018	1.04973e-012	7.94328e-010	3.49909e-013
1.89287e-006	0	7.51982e-018	3.41345e-019	3.93058e-018	7.17847e-013	1e-009	2.39282e-013
3e-006	0	1.36178e-006	1.31928e-006	1.34053e-006	0.00424982	1e-013	0.00129801
3e-006	0	1.32451e-006	1.2824e-006	1.30346e-006	0.00421087	1.25893e-013	0.00128916
3e-006	0	1.27977e-006	1.23815e-006	1.25896e-006	0.00416248	1.58489e-013	0.00127798
3e-006	0	1.22667e-006	1.18565e-006	1.20616e-006	0.00410258	1.99526e-013	0.00126386
3e-006	0	1.16448e-006	1.12419e-006	1.14433e-006	0.00402877	2.51189e-013	0.00124605
3e-006	0	1.09275e-006	1.05337e-006	1.07306e-006	0.00393827	3.16228e-013	0.00122365
3e-006	0	1.01156e-006	9.73279e-007	9.92419e-007	0.00382804	3.98107e-013	0.0011956
3e-006	0	9.21588e-007	8.8464e-007	9.03114e-007	0.00369489	5.01187e-013	0.0011607
3e-006	0	8.24291e-007	7.88935e-007	8.06613e-007	0.00353564	6.30957e-013	0.00111764
3e-006	0	7.21916e-007	6.88441e-007	7.05179e-007	0.0033475	7.94328e-013	0.00106517
