c0_left	 c0_right	 c_front	 c_back	 c_mean	 dcdx_mean	 p0	 dNu	 pfavg	 pbavg
3e-007	0	9.47778e-012	6.9221e-012	8.19994e-012	2.55568e-007	1.58489e-007	8.51892e-008	2.83367e-007	2.58652e-007
3e-007	0	3.3617e-012	2.37056e-012	2.86613e-012	9.91139e-008	1.99526e-007	3.3038e-008	9.93464e-008	8.97623e-008
3e-007	0	1.18832e-012	8.07453e-013	9.97888e-013	3.80871e-008	2.51189e-007	1.26957e-008	3.46945e-008	3.10118e-008
3e-007	0	4.28336e-013	2.80159e-013	3.54248e-013	1.48177e-008	3.16228e-007	4.93924e-009	1.23537e-008	1.09209e-008
3e-007	0	1.60297e-013	1.00903e-013	1.306e-013	5.93948e-009	3.98107e-007	1.97983e-009	4.56803e-009	3.9937e-009
3e-007	0	6.38035e-014	3.86121e-014	5.12078e-014	2.51914e-009	5.01187e-007	8.39715e-010	1.79651e-009	1.5529e-009
3e-007	0	2.79257e-014	1.61644e-014	2.2045e-014	1.17613e-009	6.30957e-007	3.92043e-010	7.75782e-010	6.62059e-010
3e-007	0	1.38255e-014	7.57466e-015	1.07001e-014	6.25087e-010	7.94328e-007	2.08362e-010	3.77658e-010	3.17259e-010
3e-007	0	7.79041e-015	3.98972e-015	5.89006e-015	3.80069e-010	1e-006	1.2669e-010	2.08404e-010	1.71728e-010
3e-007	0	4.89766e-015	2.3208e-015	3.60923e-015	2.57686e-010	1.25893e-006	8.58954e-011	1.27928e-010	1.03104e-010
3e-007	0	3.33045e-015	1.44957e-015	2.39001e-015	1.88088e-010	1.58489e-006	6.2696e-011	8.48013e-011	6.67157e-011
3e-007	0	2.39271e-015	9.50869e-016	1.67179e-015	1.44184e-010	1.99526e-006	4.80612e-011	5.93373e-011	4.55002e-011
3e-007	0	1.79583e-015	6.47959e-016	1.22189e-015	1.14787e-010	2.51189e-006	3.82623e-011	4.33489e-011	3.23558e-011
