c0_left	 c0_right	 c_front	 c_back	 c_mean	 dcdx_mean	 p0	 dNu
0.000271071	3.1071e-005	0.000115697	0.000114761	0.000115229	0.0936209	2.51189e-013	0.00133165
0.000271071	3.1071e-005	0.000108508	0.000107593	0.000108051	0.0915205	3.16228e-013	0.00144068
0.000271071	3.1071e-005	0.000100373	9.94834e-005	9.99282e-005	0.0889621	3.98107e-013	0.00158097
0.000271071	3.1071e-005	9.13626e-005	9.05039e-005	9.09333e-005	0.0858709	5.01187e-013	0.00176149
0.000271071	3.1071e-005	8.16245e-005	8.08028e-005	8.12137e-005	0.0821733	6.30957e-013	0.00199316
0.000271071	3.1071e-005	7.13864e-005	7.06084e-005	7.09974e-005	0.0778041	7.94328e-013	0.00228828
0.000271071	3.1071e-005	6.09468e-005	6.02196e-005	6.05832e-005	0.0727177	1e-012	0.00265873
0.000271071	3.1071e-005	5.06523e-005	4.99832e-005	5.03177e-005	0.0669028	1.25893e-012	0.00311136
0.000271071	3.1071e-005	4.08578e-005	4.02538e-005	4.05558e-005	0.0603948	1.58489e-012	0.00363968
0.000271071	3.1071e-005	3.18932e-005	3.13603e-005	3.16267e-005	0.0532969	1.99526e-012	0.00421011
0.000271071	3.1071e-005	2.40174e-005	2.35595e-005	2.37884e-005	0.0457856	2.51189e-012	0.00474766
0.000271071	3.1071e-005	1.73892e-005	1.70082e-005	1.71987e-005	0.0381082	3.16228e-012	0.00513199
0.000271071	3.1071e-005	1.20609e-005	1.17552e-005	1.1908e-005	0.0305708	3.98107e-012	0.00522203
0.000271071	3.1071e-005	7.98057e-006	7.74555e-006	7.86306e-006	0.0235022	5.01187e-012	0.00491817
0.000271071	3.1071e-005	5.01421e-006	4.84214e-006	4.92818e-006	0.0172073	6.30957e-012	0.00423141
0.000271071	3.1071e-005	2.97535e-006	2.85618e-006	2.91577e-006	0.0119172	7.94328e-012	0.00329981
0.000271071	3.1071e-005	1.65704e-006	1.57954e-006	1.61829e-006	0.00774973	1e-011	0.00232558
0.000271071	3.1071e-005	8.60002e-007	8.13058e-007	8.3653e-007	0.00469438	1.25893e-011	0.00148105
0.000271071	3.1071e-005	4.125e-007	3.86247e-007	3.99373e-007	0.00262527	1.58489e-011	0.00085225
0.000271071	3.1071e-005	1.81227e-007	1.678e-007	1.74513e-007	0.0013427	1.99526e-011	0.000442406
0.000271071	3.1071e-005	7.22122e-008	6.59955e-008	6.91039e-008	0.000621672	2.51189e-011	0.000206273
