c0_left	 c0_right	 c_front	 c_back	 c_mean	 dcdx_mean	 p0	 dNu
0.00030003	0.00029997	0.000296551	0.00029655	0.00029655	2.79324e-005	1e-014	7.8583e-008
0.00030003	0.00029997	0.000295668	0.000295667	0.000295667	2.85217e-005	1.25893e-014	8.06766e-008
0.00030003	0.00029997	0.000294561	0.000294561	0.000294561	2.92584e-005	1.58489e-014	8.33257e-008
0.00030003	0.00029997	0.000293178	0.000293178	0.000293178	3.01777e-005	1.99526e-014	8.66812e-008
0.00030003	0.00029997	0.000291451	0.00029145	0.00029145	3.13221e-005	2.51189e-014	9.09376e-008
0.00030003	0.00029997	0.000289298	0.000289298	0.000289298	3.27427e-005	3.16228e-014	9.6348e-008
0.00030003	0.00029997	0.000286623	0.000286623	0.000286623	3.44998e-005	3.98107e-014	1.03241e-007
0.00030003	0.00029997	0.00028331	0.00028331	0.00028331	3.66632e-005	5.01187e-014	1.12048e-007
0.00030003	0.00029997	0.000279222	0.000279221	0.000279221	3.9312e-005	6.30957e-014	1.23341e-007
0.00030003	0.00029997	0.000274203	0.000274202	0.000274202	4.25321e-005	7.94328e-014	1.37883e-007
0.00030003	0.00029997	0.000268079	0.000268078	0.000268078	4.64118e-005	1e-013	1.56707e-007
0.00030003	0.00029997	0.000260663	0.000260663	0.000260663	5.10343e-005	1.25893e-013	1.81219e-007
0.00030003	0.00029997	0.000251763	0.000251762	0.000251763	5.64672e-005	1.58489e-013	2.13379e-007
0.00030003	0.00029997	0.000241201	0.000241201	0.000241201	6.27406e-005	1.99526e-013	2.5591e-007
0.00030003	0.00029997	0.000228835	0.000228834	0.000228834	6.98265e-005	2.51189e-013	3.12679e-007
0.00030003	0.00029997	0.000214579	0.000214578	0.000214579	7.76127e-005	3.16228e-013	3.89239e-007
0.00030003	0.00029997	0.00019845	0.000198449	0.000198449	8.58683e-005	3.98107e-013	4.936e-007
0.00030003	0.00029997	0.000180587	0.000180586	0.000180587	9.42221e-005	5.01187e-013	6.374e-007
0.00030003	0.00029997	0.000161286	0.000161285	0.000161285	0.000102151	6.30957e-013	8.37529e-007
0.00030003	0.00029997	0.000140998	0.000140997	0.000140998	0.000108994	7.94328e-013	1.11826e-006
0.00030003	0.00029997	0.000120317	0.000120316	0.000120317	0.000114001	1e-012	1.51362e-006
0.00030003	0.00029997	9.99315e-005	9.99303e-005	9.99309e-005	0.000116422	1.25893e-012	2.06887e-006
0.00030003	0.00029997	8.05455e-005	8.05443e-005	8.05449e-005	0.000115625	1.58489e-012	2.83854e-006
0.00030003	0.00029997	6.28133e-005	6.28122e-005	6.28128e-005	0.000111223	1.99526e-012	3.87347e-006
0.00030003	0.00029997	4.72471e-005	4.7246e-005	4.72465e-005	0.000103199	2.51189e-012	5.18847e-006
0.00030003	0.00029997	3.41601e-005	3.41592e-005	3.41596e-005	9.19657e-005	3.16228e-012	6.7023e-006
0.00030003	0.00029997	2.36527e-005	2.36519e-005	2.36523e-005	7.83607e-005	3.98107e-012	8.16663e-006
0.00030003	0.00029997	1.5619e-005	1.56184e-005	1.56187e-005	6.35475e-005	5.01187e-012	9.16081e-006
0.00030003	0.00029997	9.78979e-006	9.7893e-006	9.78955e-006	4.88326e-005	6.30957e-012	9.25322e-006
0.00030003	0.00029997	5.79254e-006	5.79218e-006	5.79236e-006	3.54345e-005	7.94328e-012	8.29788e-006
0.00030003	0.00029997	3.21516e-006	3.21492e-006	3.21504e-006	2.42573e-005	1e-011	6.5962e-006
0.00030003	0.00029997	1.66209e-006	1.66193e-006	1.66201e-006	1.57362e-005	1.25893e-011	4.70917e-006
0.00030003	0.00029997	7.93527e-007	7.93429e-007	7.93478e-007	9.80521e-006	1.58489e-011	3.10214e-006
0.00030003	0.00029997	3.4672e-007	3.4666e-007	3.4669e-007	6.01292e-006	1.99526e-011	1.95877e-006
0.00030003	0.00029997	1.37254e-007	1.37217e-007	1.37235e-007	3.72515e-006	2.51189e-011	1.23043e-006
0.00030003	0.00029997	4.86864e-008	4.86629e-008	4.86746e-008	2.34698e-006	3.16228e-011	7.79793e-007
0.00030003	0.00029997	1.53055e-008	1.52908e-008	1.52982e-008	1.46453e-006	3.98107e-011	4.8768e-007
0.00030003	0.00029997	4.22101e-009	4.21237e-009	4.21669e-009	8.63814e-007	5.01187e-011	2.87857e-007
0.00030003	0.00029997	1.01394e-009	1.00933e-009	1.01163e-009	4.60964e-007	6.30957e-011	1.53644e-007
0.00030003	0.00029997	2.12207e-010	2.10043e-010	2.11125e-010	2.16406e-007	7.94328e-011	7.21345e-008
0.00030003	0.00029997	3.93178e-011	3.84309e-011	3.88744e-011	8.86878e-008	1e-010	2.95625e-008
0.00030003	0.00029997	6.74843e-012	6.42545e-012	6.58694e-012	3.22986e-008	1.25893e-010	1.07662e-008
0.00030003	0.00029997	1.17226e-012	1.06249e-012	1.11738e-012	1.0977e-008	1.58489e-010	3.65901e-009
0.00030003	0.00029997	2.33187e-013	1.95716e-013	2.14452e-013	3.74715e-009	1.99526e-010	1.24905e-009
0.00030003	0.00029997	5.83037e-014	4.46096e-014	5.14566e-014	1.36941e-009	2.51189e-010	4.56468e-010
0.00030003	0.00029997	1.84028e-014	1.29075e-014	1.56551e-014	5.49531e-010	3.16228e-010	1.83177e-010
0.00030003	0.00029997	7.00071e-015	4.57704e-015	5.78888e-015	2.42367e-010	3.98107e-010	8.0789e-011
0.00030003	0.00029997	3.0976e-015	1.91915e-015	2.50837e-015	1.17845e-010	5.01187e-010	3.92817e-011
0.00030003	0.00029997	1.57427e-015	9.35307e-016	1.25479e-015	6.38961e-011	6.30957e-010	2.12987e-011
0.00030003	0.00029997	9.11246e-016	5.23172e-016	7.17209e-016	3.88074e-011	7.94328e-010	1.29358e-011
0.00030003	0.00029997	5.88734e-016	3.29412e-016	4.59073e-016	2.59323e-011	1e-009	8.64409e-012
0.000300038	0.000299962	0.000296551	0.00029655	0.00029655	3.64421e-005	1e-014	1.02524e-007
0.000300038	0.000299962	0.000295668	0.000295667	0.000295667	3.70234e-005	1.25893e-014	1.04725e-007
0.000300038	0.000299962	0.000294561	0.000294561	0.000294561	3.77502e-005	1.58489e-014	1.0751e-007
0.000300038	0.000299962	0.000293178	0.000293178	0.000293178	3.8657e-005	1.99526e-014	1.11037e-007
0.000300038	0.000299962	0.000291451	0.00029145	0.00029145	3.97856e-005	2.51189e-014	1.1551e-007
0.000300038	0.000299962	0.000289298	0.000289298	0.000289298	4.11864e-005	3.16228e-014	1.21194e-007
0.000300038	0.000299962	0.000286623	0.000286623	0.000286623	4.29187e-005	3.98107e-014	1.28435e-007
0.000300038	0.000299962	0.00028331	0.000283309	0.00028331	4.50511e-005	5.01187e-014	1.37683e-007
